Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
26,6235,spuh,peep sp.,Calidris sp. (peep sp.),5,Townline & Mill Fluddles,US-WI,12 May 2026,L34090263,S337705439,,0
66,12142,spuh,diurnal raptor sp.,Accipitriformes/Falconiformes sp.,2,Lost Creek Wetland (Stevens Point),US-WI,02 May 2026,L1280066,S332515190,,0
79,6155,slash,Lesser/Greater Yellowlegs,Tringa flavipes/melanoleuca,1,Steinhaugen County Park,US-WI,26 Apr 2026,L4188852,S327892702,,0
80,24305,spuh,swallow sp.,Hirundinidae sp.,10,Wisconsin River Recreation Area,US-WI,26 Apr 2026,L28149137,S327711747,,0
98,35853,spuh,bird sp.,Aves sp.,1,Lost Creek Wetland (Stevens Point),US-WI,19 Apr 2026,L1280066,S328398737,,0
106,33944,spuh,blackbird sp.,Icteridae sp.,5,Iverson Park,US-WI,14 Apr 2026,L303559,S322065289,,0
108,8573,spuh,Buteo sp.,Buteo sp.,1,Lost Creek Wetland (Stevens Point),US-WI,12 Apr 2026,L1280066,S320912516,,0
110,6880,slash,Horned/Eared Grebe,Podiceps auritus/nigricollis,1,Bar Bay--Old Wausau Rd.,US-WI,12 Apr 2026,L599926,S320592920,,0
112,389,slash,Trumpeter/Tundra Swan,Cygnus buccinator/columbianus,1,Bar Bay--Old Wausau Rd.,US-WI,12 Apr 2026,L599926,S320592920,,0
132,708,slash,Greater/Lesser Scaup,Aythya marila/affinis,7,Wisconsin River Recreation Area,US-WI,04 Apr 2026,L28149137,S317092046,,0
142,413,spuh,goose sp.,Anatidae (goose sp.),10,Bar Bay--Old Wausau Rd.,US-WI,31 Mar 2026,L599926,S315109135,,0
153,21634,spuh,crow/raven sp.,Corvus sp.,2,"750 Granite Ridge Road, Stevens Point, Wisconsin, US (44.584, -89.641)",US-WI,22 Mar 2026,L26814907,S312171639,,0
159,6618,spuh,Larus sp.,Larus sp.,1,Black Bridge Lookout,US-WI,15 Mar 2026,L2767954,S309593904,,0
166,6619,spuh,gull sp.,Larinae sp.,13,"8052 Pine Street, Wisconsin Rapids, Wisconsin, US (44.298, -89.724)",US-WI,08 Mar 2026,L59846205,S307220986,,0
169,394,spuh,swan sp.,Cygnus sp.,4,"8052 Pine Street, Wisconsin Rapids, Wisconsin, US (44.298, -89.724)",US-WI,08 Mar 2026,L59846205,S307220986,,0
183,33520,spuh,new world sparrow sp.,Passerellidae sp.,1,"Mill Road, Bancroft, Wisconsin, US (44.304, -89.633)",US-WI,01 Mar 2026,L24280943,S304964554,,0
189,9401,spuh,owl sp.,Strigiformes sp.,1,"Wellfield Road North, Stevens Point, Wisconsin, US (44.542, -89.521)",US-WI,13 Feb 2026,L21716126,S300951436,,0
190,8279,slash,Sharp-shinned/Cooper's Hawk,Accipiter striatus/Astur cooperii,1,Dewey Marsh SWA,US-WI,13 Feb 2026,L636521,S300951932,,0
192,11934,spuh,woodpecker sp.,Picidae sp.,1,Buena Vista Grasslands/Marsh--Swamp Rd.,US-WI,31 Jan 2026,L6521220,S297219948,,0
193,35852,spuh,passerine sp.,Passeriformes sp.,2,Buena Vista Grasslands/Marsh--Lake Rd.,US-WI,31 Jan 2026,L5481371,S297203904,,0
194,792,spuh,duck sp.,Anatidae (duck sp.),1,Lower Whiting Park,US-WI,29 Jan 2026,L898906,S296935296,,0
